#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1878C
#Date Time: 2024-04-19 11:21:02.549
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00258048,0.3911844557477053,-8.879191911668453
-0.00257985,0.3911844557477053,-8.842396070118097
-0.00257922,0.387467148481399,-8.88287149582349
-0.00257859,0.387467148481399,-8.978540683854499
-0.00257796,0.387467148481399,-9.066850703575351
-0.00257733,0.387467148481399,-9.14780155498617
-0.0025767,0.387467148481399,-9.225072822241916
-0.00257607,0.387467148481399,-9.291305337032622
-0.00257544,0.387467148481399,-9.350178683513217
-0.00257481,0.3837498412150944,-9.39801327752868
-0.00257418,0.3837498412150927,-9.434809119079073
-0.00257355,0.3800325339487864,-9.475284544784493
-0.00257292,0.3800325339487864,-9.497362049714706
-0.00257229,0.3837498412150927,-9.515759970489892
-0.00257166,0.3874671484813956,-9.523119138799968
-0.00257103,0.3800325339487864,-9.526798722955004
-0.0025704,0.3800325339487864,-9.515759970489892
-0.00256977,0.383749841215091,-9.504721218024786
-0.00256914,0.3837498412150927,-9.482643713094557
-0.00256851,0.387467148481399,-9.453207039854242
-0.00256788,0.387467148481399,-9.41273161414885
-0.00256725,0.3837498412150927,-9.368576604288403
-0.00256662,0.3911844557477053,-9.313382841962831
-0.00256599,0.3911844557477053,-9.28026658456751
-0.00256536,0.3837498412150927,-9.210354485621803
-0.00256473,0.3874671484813973,-9.158840307451305
-0.0025641,0.387467148481399,-9.114685297590835
-0.00256347,0.3837498412150927,-9.07788945604044
-0.00256284,0.3837498412150927,-9.026375277869942
-0.00256221,0.387467148481399,-8.982220268009495
-0.00256158,0.3837498412150927,-8.941744842304068
-0.00256095,0.3837498412150927,-8.901269416598677
-0.00256032,0.3837498412150927,-8.85711440673823
-0.00255969,0.3837498412150927,-8.842396070118088
-0.00255906,0.3800325339487864,-8.938065258149049
-0.00255843,0.3800325339487864,-9.026375277869942
-0.0025578,0.3800325339487864,-9.114685297590835
-0.00255717,0.3837498412150927,-9.191956564846617
-0.00255654,0.3837498412150944,-9.269227832102425
-0.00255591,0.387467148481399,-9.328101178582994
-0.00255528,0.387467148481399,-9.379615356753515
-0.00255465,0.3800325339487898,-9.416411198303871
-0.00255402,0.3800325339487864,-9.464245792319371
-0.00255339,0.3837498412150927,-9.486323297249594
-0.00255276,0.387467148481399,-9.512080386334855
-0.00255213,0.387467148481399,-9.519439554644929
-0.0025515,0.3874671484814007,-9.523119138799965
-0.00255087,0.3911844557477053,-9.519439554644929
-0.00255024,0.387467148481399,-9.519439554644929
-0.00254961,0.3837498412150944,-9.501041633869752
-0.00254898,0.3800325339487864,-9.475284544784483
-0.00254835,0.387467148481399,-9.442168287389148
-0.00254772,0.3837498412150944,-9.405372445838792
-0.00254709,0.3837498412150927,-9.34649909935818
-0.00254646,0.3837498412150944,-9.302344089497712
-0.00254583,0.387467148481399,-9.25450949548225
-0.0025452,0.387467148481399,-9.18827698069158
-0.00254457,0.387467148481399,-9.140442386676117
-0.00254394,0.3837498412150927,-9.088928208505575
-0.00254331,0.3837498412150927,-9.052132366955203
-0.00254268,0.3800325339487881,-9.007977357094775
-0.00254205,0.3837498412150927,-8.963822347234309
-0.00254142,0.3837498412150927,-8.923346921528879
-0.00254079,0.3837498412150927,-8.875512327513416
-0.00254016,0.3800325339487864,-8.835036901808007
-0.00253953,0.3763152266824817,-8.882871495823469
-0.0025389,0.3837498412150927,-8.978540683854458
-0.00253827,0.3837498412150927,-9.077889456040463
-0.00253764,0.3837498412150927,-9.155160723296209
-0.00253701,0.3800325339487864,-9.232431990552026
-0.00253638,0.3837498412150944,-9.294984921187687
-0.00253575,0.387467148481399,-9.357537851823292
-0.00253512,0.3837498412150927,-9.401692861683738
-0.00253449,0.3837498412150927,-9.442168287389162
-0.00253386,0.3837498412150927,-9.475284544784483
-0.00253323,0.387467148481399,-9.501041633869743
-0.0025326,0.387467148481399,-9.515759970489885
-0.00253197,0.3837498412150927,-9.523119138799967
-0.00253134,0.3800325339487881,-9.526798722955
-0.00253071,0.3837498412150927,-9.519439554644929
-0.00253008,0.3837498412150927,-9.508400802179818
-0.00252945,0.387467148481399,-9.482643713094543
-0.00252882,0.387467148481399,-9.453207039854259
-0.00252819,0.3800325339487864,-9.416411198303887
-0.00252756,0.3874671484813956,-9.379615356753531
-0.00252693,0.3837498412150927,-9.317062426117882
-0.0025263,0.3837498412150927,-9.28026658456751
-0.00252567,0.3800325339487864,-9.21403406977684
-0.00252504,0.3800325339487864,-9.162519891606319
-0.00252441,0.3837498412150944,-9.12204446590089
-0.00252378,0.387467148481399,-9.077889456040463
-0.00252315,0.3837498412150927,-9.026375277869942
-0.00252252,0.3874671484813973,-8.98589985216455
-0.00252189,0.3837498412150927,-8.941744842304086
-0.00252126,0.3800325339487864,-8.904949000753714
-0.00252063,0.3837498412150927,-8.864473575048304
-0.00252,0.3837498412150927,-8.849755238428155
-0.00251937,0.387467148481399,-8.945424426459166
-0.00251874,0.387467148481399,-9.037414030335054
