#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2024-04-26 11:49:48.770
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 9.66 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002580205939185875,0.4025552174908221,-9.575496770845788
-0.002579575939185876,0.4025552174908221,-9.568178175397824
-0.002578945939185875,0.4022194391074588,-9.546222389053915
-0.002578315939185875,0.4025552174908225,-9.531585198157961
-0.002577685939185875,0.4032267742575489,-9.494992220918133
-0.002577055939185875,0.4035625526409123,-9.458399243678292
-0.002576425939185876,0.4032267742575491,-9.392531884646603
-0.002575795939185875,0.4035625526409123,-9.348620311958761
-0.002575165939185875,0.4038983310242756,-9.301049441546965
-0.002574535939185876,0.4038983310242756,-9.235182082515278
-0.002573905939185875,0.4045698877910024,-9.187611212103452
-0.002573275939185875,0.4045698877910026,-9.143699639415621
-0.002572645939185875,0.4049056661743659,-9.099788066727829
-0.002572015939185875,0.4049056661743659,-9.055876494040017
-0.002571385939185875,0.404905666174366,-9.008305623628205
-0.002570755939185875,0.4052414445577293,-8.971712646388378
-0.002570125939185875,0.4049056661743659,-8.927801073700566
-0.002569495939185876,0.4049056661743659,-8.891208096460739
-0.002568865939185875,0.405913001324456,-8.975371944112362
-0.002568235939185875,0.4052414445577291,-9.066854387212013
-0.002567605939185875,0.4049056661743659,-9.161996128035563
-0.002566975939185875,0.404234109407639,-9.235182082515248
-0.002566345939185875,0.4038983310242755,-9.312027334718946
-0.002565715939185875,0.4035625526409123,-9.374235396026652
-0.002565085939185875,0.4032267742575489,-9.432784159610401
-0.002564455939185876,0.4025552174908225,-9.47303643457421
-0.002563825939185875,0.4018836607240954,-9.513288709538056
-0.002563195939185875,0.4018836607240953,-9.54256309132994
-0.002562565939185875,0.401547882340732,-9.564518877673835
-0.002561935939185875,0.401547882340732,-9.579156068569773
-0.002561305939185875,0.4008763255740058,-9.590133961741724
-0.002560675939185875,0.4018836607240954,-9.586474664017741
-0.002560045939185875,0.4022194391074588,-9.575496770845788
-0.002559415939185876,0.402555217490822,-9.557200282225876
-0.002558785939185875,0.4032267742575489,-9.535244495881962
-0.002558155939185875,0.4032267742575489,-9.513288709538056
-0.002557525939185876,0.4025552174908221,-9.46571783912626
-0.002556895939185875,0.4018836607240954,-9.414487670990479
-0.002556265939185875,0.4025552174908226,-9.355938907406717
-0.002555635939185875,0.4035625526409123,-9.323005227890871
-0.002555005939185875,0.4032267742575489,-9.253478571135171
-0.002554375939185876,0.4032267742575489,-9.202248402999412
-0.002553745939185875,0.4032267742575489,-9.154677532587593
-0.002553115939185875,0.4032267742575489,-9.107106662175797
-0.002552485939185876,0.4038983310242756,-9.063195089487985
-0.002551855939185875,0.4038983310242756,-9.026602112248142
-0.002551225939185875,0.404234109407639,-8.986349837284299
-0.002550595939185875,0.404234109407639,-8.949756860044472
-0.002549965939185875,0.4045698877910024,-8.90584528735666
-0.002549335939185876,0.4049056661743657,-8.916823180528608
-0.002548705939185875,0.4049056661743659,-9.022942814524159
-0.002548075939185875,0.4045698877910024,-9.11808455534775
-0.002547445939185876,0.4042341094076392,-9.20224840299935
-0.002546815939185875,0.4035625526409123,-9.275434357479076
-0.002546185939185875,0.4032267742575486,-9.34130171651082
-0.002545555939185875,0.4025552174908221,-9.399850480094543
-0.002544925939185875,0.4022194391074588,-9.454739945954307
-0.002544295939185876,0.4015478823407324,-9.498651518642099
-0.002543665939185875,0.4018836607240954,-9.527925900433994
-0.002543035939185875,0.401547882340732,-9.553540984501883
-0.002542405939185876,0.401547882340732,-9.571837473121796
-0.002541775939185875,0.4012121039573686,-9.579156068569773
-0.002541145939185875,0.4008763255740053,-9.582815366293755
-0.002540515939185875,0.4008763255740053,-9.575496770845788
-0.002539885939185875,0.401547882340732,-9.571837473121805
-0.002539255939185876,0.401547882340732,-9.54988168677791
-0.002538625939185875,0.4018836607240954,-9.524266602710009
-0.002537995939185875,0.4018836607240954,-9.484014327746181
-0.002537365939185876,0.4018836607240954,-9.440102755058389
-0.002536735939185875,0.401547882340732,-9.377894693750637
-0.002536105939185875,0.4025552174908218,-9.344961014234752
-0.002535475939185875,0.4018836607240954,-9.286412250651029
-0.002534845939185875,0.4018836607240954,-9.22786348706728
-0.002534215939185875,0.4028909958741857,-9.176633318931481
-0.002533585939185875,0.4032267742575489,-9.136381043967672
-0.002532955939185875,0.4025552174908221,-9.088810173555876
-0.002532325939185876,0.4025552174908221,-9.052217196316048
-0.002531695939185875,0.4028909958741855,-9.011964921352206
-0.002531065939185875,0.4032267742575488,-8.964394050940394
-0.002530435939185875,0.4028909958741855,-8.927801073700566
-0.002529805939185875,0.4025552174908221,-8.898526691908692
-0.002529175939185875,0.4049056661743655,-8.990009135008339
-0.002528545939185875,0.404234109407639,-9.074172982659938
-0.002527915939185875,0.4035625526409123,-9.169314723483531
-0.002527285939185876,0.4025552174908226,-9.242500677963184
-0.002526655939185875,0.4025552174908221,-9.319345930166888
-0.002526025939185875,0.4022194391074588,-9.377894693750637
